ID,age,baselining,control,deaths,gametime,gender,gravity,level,level_pupdilations,leveltime,mean_pupilsize,threscount,threshold
b,23,True,True,2,2.0000000000000027,f,33,1,"[10281.0, 10284.0, 10290.0, 10290.0, 10298.0, 10301.0, 10293.0, 10299.0, 10301.0, 10300.0, 10300.0, 10431.0, 10437.0, 10431.0, 10427.0, 10439.0, 10439.0, 10429.0, 10424.0, 10448.0, 10454.0, 10164.0, 10042.0, 10105.0, 10143.0, 10191.0, 10152.0, 10144.0, 10190.0, 10212.0, 10243.0, 10271.0, 10286.0, 10226.0, 10082.0, 10107.0, 10125.0, 10153.0, 10184.0, 10201.0, 10229.0, 10255.0, 10289.0, 10314.0, 10334.0, 10361.0, 10406.0, 10432.0, 10369.0, 10376.0, 10372.0, 10365.0, 10365.0, 10384.0, 10248.0, 10252.0, 10280.0, 10304.0, 10335.0, 10098.0]",2.0000000000000027,10286.416666666666,0,10609.519696338912
b,23,True,True,3,4.000000000000005,f,48,2,"[10061.0, 10115.0, 10159.0, 10173.0, 10064.0, 10081.0, 10118.0, 10152.0, 10183.0, 10209.0, 10242.0, 10194.0, 10208.0, 10254.0, 10284.0, 10322.0, 10344.0, 10376.0, 10384.0, 10396.0, 10411.0, 10428.0, 10323.0, 10312.0, 10309.0, 10305.0, 10311.0, 10295.0, 10315.0, 10212.0, 10213.0, 10249.0, 10299.0, 10325.0, 10360.0, 10090.0, 10142.0, 10204.0, 10215.0, 10262.0, 10305.0, 10343.0, 10220.0, 10077.0, 10126.0, 10172.0, 10208.0, 10241.0, 10280.0, 10313.0, 10351.0, 10105.0, 10029.0, 10096.0, 10148.0, 10178.0, 10203.0, 10235.0, 10273.0, 10304.0]",2.0000000000000027,10235.1,0,10609.519696338912
b,23,True,True,3,6.000000000000008,f,27,3,"[9992.0, 10048.0, 10115.0, 10165.0, 10203.0, 10231.0, 10263.0, 10030.0, 10100.0, 10131.0, 10158.0, 10182.0, 10222.0, 10255.0, 10204.0, 10150.0, 10202.0, 10224.0, 10253.0, 10284.0, 10312.0, 10291.0, 10245.0, 10258.0, 10274.0, 10266.0, 10278.0, 10307.0, 10313.0, 10325.0, 10348.0, 10352.0, 10367.0, 10375.0, 10372.0, 10382.0, 10380.0, 10382.0, 10394.0, 10392.0, 10404.0, 10406.0, 10245.0, 10042.0, 10065.0, 10086.0, 10097.0, 10106.0, 10114.0, 9853.0, 9878.0, 9922.0, 9942.0, 9969.0, 9998.0, 10025.0, 9945.0, 9930.0, 9950.0, 9988.0]",2.0000000000000027,10183.166666666666,0,10609.519696338912
b,23,True,True,3,8.00000000000001,f,15,4,"[10000.0, 10026.0, 10049.0, 10070.0, 10115.0, 10096.0, 10116.0, 10144.0, 10167.0, 10178.0, 10196.0, 10210.0, 10223.0, 10237.0, 10247.0, 10252.0, 10257.0, 10270.0, 10272.0, 10282.0, 10295.0, 10316.0, 10329.0, 10328.0, 10351.0, 10367.0, 10382.0, 10387.0, 10395.0, 10163.0, 10025.0, 10075.0, 10088.0, 10111.0, 10123.0, 10140.0, 10143.0, 10156.0, 10170.0, 10188.0, 10200.0, 10215.0, 10236.0, 10249.0, 10265.0, 10275.0, 10216.0, 10155.0, 10178.0, 10201.0, 10223.0, 10247.0, 10257.0, 10266.0, 10272.0, 10286.0, 10290.0, 10312.0, 10324.0, 10346.0]",2.0000000000000027,10215.866666666667,0,10609.519696338912
b,23,True,True,3,10.000000000000014,f,29,5,"[10359.0, 10369.0, 10367.0, 10394.0, 10392.0, 10408.0, 10417.0, 10430.0, 10450.0, 10422.0, 10149.0, 10156.0, 10187.0, 10219.0, 10256.0, 10267.0, 10275.0, 10109.0, 9917.0, 9899.0, 9953.0, 9971.0, 9989.0, 10009.0, 10037.0, 10049.0, 10088.0, 10139.0, 10072.0, 8487.0, 0.0, 2047.0, 7582.0, 9891.0, 10070.0, 10097.0, 10115.0, 10117.0, 10129.0, 10142.0, 10170.0, 10194.0, 10240.0, 10256.0, 10279.0, 10300.0, 10325.0, 10334.0, 10340.0, 10340.0, 10340.0, 10336.0, 10195.0, 10208.0, 10216.0, 10238.0, 10252.0, 10263.0, 10280.0, 10331.0]",2.0000000000000027,9831.0499999999993,0,10609.519696338912
b,23,True,True,3,12.000000000000018,f,26,6,"[10385.0, 10414.0, 10427.0, 10440.0, 10460.0, 10488.0, 10539.0, 10563.0, 10582.0, 10590.0, 10613.0, 10629.0, 10465.0, 10351.0, 10387.0, 10412.0, 10425.0, 10452.0, 10471.0, 10497.0, 10514.0, 10538.0, 10543.0, 10559.0, 10548.0, 10351.0, 10386.0, 10400.0, 10423.0, 10439.0, 10442.0, 10389.0, 10130.0, 10144.0, 10163.0, 10192.0, 10218.0, 10236.0, 10245.0, 10226.0, 10099.0, 10108.0, 10125.0, 10142.0, 10152.0, 10161.0, 10181.0, 10202.0, 10133.0, 9999.0, 9992.0, 10018.0, 10044.0, 10061.0, 10067.0, 10069.0, 10086.0, 10125.0, 10151.0, 10172.0]",2.0000000000000027,10312.716666666667,0,10609.519696338912
b,23,True,True,3,14.000000000000021,f,15,7,"[10188.0, 10211.0, 10116.0, 9977.0, 10001.0, 10017.0, 10037.0, 10042.0, 10046.0, 10048.0, 10053.0, 10064.0, 10076.0, 10089.0, 10102.0, 10130.0, 10138.0, 10166.0, 10187.0, 10198.0, 10221.0, 10248.0, 10260.0, 10276.0, 10281.0, 9979.0, 9905.0, 9915.0, 9910.0, 9923.0, 9918.0, 9915.0, 9921.0, 9913.0, 9913.0, 9912.0, 9738.0, 9727.0, 9756.0, 9758.0, 9772.0, 9783.0, 9798.0, 9810.0, 9819.0, 9839.0, 9849.0, 9696.0, 9705.0, 9725.0, 9740.0, 9751.0, 9755.0, 9758.0, 9775.0, 9784.0, 9795.0, 9805.0, 9832.0, 9841.0]",2.0000000000000027,9948.4500000000007,0,10609.519696338912
b,23,True,True,3,16.000000000000025,f,22,8,"[9858.0, 9883.0, 9891.0, 9900.0, 9908.0, 9923.0, 9940.0, 9947.0, 9961.0, 9969.0, 9993.0, 9999.0, 10015.0, 10030.0, 10042.0, 10058.0, 10069.0, 10085.0, 10099.0, 10111.0, 9911.0, 9720.0, 9724.0, 9752.0, 9758.0, 9782.0, 9636.0, 9647.0, 9694.0, 9718.0, 9748.0, 9768.0, 9791.0, 9803.0, 9835.0, 9875.0, 9905.0, 9931.0, 9952.0, 9746.0, 9785.0, 9840.0, 9868.0, 9929.0, 9950.0, 9967.0, 9988.0, 10009.0, 10036.0, 9902.0, 9896.0, 9927.0, 9937.0, 9958.0, 9957.0, 9981.0, 9994.0, 10027.0, 10044.0, 10058.0]",2.0000000000000027,9907.1666666666661,0,10609.519696338912
b,23,True,True,3,18.00000000000003,f,36,9,"[10081.0, 10101.0, 10121.0, 10012.0, 10044.0, 10071.0, 10091.0, 10118.0, 10145.0, 10174.0, 10200.0, 10224.0, 10167.0, 9905.0, 9924.0, 9963.0, 10003.0, 10031.0, 10070.0, 9807.0, 9676.0, 9734.0, 9747.0, 9783.0, 9805.0, 9832.0, 9831.0, 9663.0, 9690.0, 9747.0, 9789.0, 9820.0, 9849.0, 9891.0, 9938.0, 9780.0, 9652.0, 9721.0, 9768.0, 9850.0, 9893.0, 9959.0, 9992.0, 10017.0, 10052.0, 9665.0, 9647.0, 9698.0, 9708.0, 9733.0, 9775.0, 9804.0, 9885.0, 9914.0, 9974.0, 10013.0, 10063.0, 10086.0, 9734.0, 9715.0]",2.0000000000000027,9902.4166666666661,0,10609.519696338912
b,23,True,True,3,20.000000000000032,f,17,10,"[9757.0, 9788.0, 9816.0, 9860.0, 9870.0, 9776.0, 9781.0, 9821.0, 9842.0, 9874.0, 9893.0, 9911.0, 9933.0, 9940.0, 9958.0, 9973.0, 9993.0, 10007.0, 10029.0, 10040.0, 10055.0, 10062.0, 10075.0, 10081.0, 10098.0, 10111.0, 10013.0, 10035.0, 10066.0, 10075.0, 10093.0, 10100.0, 10113.0, 10121.0, 10131.0, 10155.0, 10188.0, 9975.0, 9986.0, 10010.0, 10031.0, 10045.0, 10048.0, 10072.0, 10081.0, 10105.0, 10301.0, 10299.0, 10290.0, 10290.0, 10297.0, 10292.0, 10301.0, 10314.0, 10323.0, 10301.0, 10047.0, 10053.0, 10067.0, 10089.0]",2.0000000000000027,10050.85,0,10609.519696338912
